Label	Parent	Alternative Term	IEDB Term	Domain	In Taxon
C-type lectin like protein (African swine fever virus)	protein	Lectin-like protein EP153R|lectin homolog|pEP153R	C-type lectin like protein	protein	African swine fever virus
C2 (Tobacco leaf curl Zimbabwe virus)	protein	TlcZvgp4,C2	C2	protein	Tobacco leaf curl Zimbabwe virus
Cadherin EGF LAG seven-pass G-type receptor 1 (Homo sapiens)	protein		Cadherin EGF LAG seven-pass G-type receptor 1	protein	Homo sapiens
Cadherin-13 (Homo sapiens)	protein	H-cadherin|Heart cadherin|P105|T-cad|T-cadherin|Truncated cadherin	Cadherin-13	protein	Homo sapiens
cadherin-19 (Homo sapiens)	protein		cadherin-19	protein	Homo sapiens
calsyntenin 3 (Homo sapiens)	protein		calsyntenin 3	protein	Homo sapiens
Candidapepsin-2 (Candida albicans)	protein	ACP 2|Aspartate protease 2|Secreted aspartic protease 2	Candidapepsin-2	protein	Candida albicans
Capsid protein (Porcine circovirus 1)	protein		Capsid protein	protein	Porcine circovirus 1
Capsid protein (Porcine circovirus)	protein		Capsid protein	protein	Porcine circovirus
Capsid protein (Tobacco mosaic virus)	protein	Coat protein	Capsid protein	protein	Tobacco mosaic virus
capsid protein VP1 (Adeno-associated virus)	protein		capsid protein VP1	protein	Adeno-associated virus
Capsid protein VP1 (Norovirus)	protein	CP|p59	Capsid protein VP1	protein	Norovirus
carbonate dehydratase (Mycobacterium tuberculosis)	protein	carbonite dehydrogynase	carbonate dehydratase	protein	Mycobacterium tuberculosis
Carbonic anhydrase 2 (Bos taurus)	protein		Carbonic anhydrase 2	protein	Bos taurus
carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 2 (Homo sapiens)	protein		carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 2	protein	Homo sapiens
carboxypeptidase (Dermatophagoides)	protein		carboxypeptidase	protein	Dermatophagoides
carboxypeptidase E preproprotein (Homo sapiens)	protein		carboxypeptidase E preproprotein	protein	Homo sapiens
carboxypeptidase, vitellogenic-like (Homo sapiens)	protein		carboxypeptidase, vitellogenic-like	protein	Homo sapiens
Carcinoembryonic antigen-related cell adhesion molecule 5 (Homo sapiens)	protein	CEA|Carcinoembryonic antigen|Meconium antigen 100	Carcinoembryonic antigen-related cell adhesion molecule 5	protein	Homo sapiens
cardiac myosin (Homo sapiens)	protein		cardiac myosin	protein	Homo sapiens
Caspase-8 (Homo sapiens)	protein	Apoptotic cysteine protease|Apoptotic protease Mch-5|CAP4|CASP-8|FADD-homologous ICE/ced-3-like protease|FADD-like ICE|FLICE|ICE-like apoptotic protease 5|MACH|MORT1-associated ced-3 homolog	Caspase-8	protein	Homo sapiens
catalase (Helicobacter pylori)	protein		catalase	protein	Helicobacter pylori
Cathepsin H (Mus musculus)	protein		Cathepsin H	protein	Mus musculus
Cathepsin L-like proteinase (Fasciola hepatica)	protein		Cathepsin L-like proteinase	protein	Fasciola hepatica
Cation-independent mannose-6-phosphate receptor (Homo sapiens)	protein	300 kDa mannose 6-phosphate receptor|CI Man-6-P receptor|CI-MPR|IGF-II receptor|Insulin-like growth factor 2 receptor|Insulin-like growth factor II receptor|M6P/IGF2 receptor|M6P/IGF2R|M6PR|MPR 300	Cation-independent mannose-6-phosphate receptor	protein	Homo sapiens
CD23; Low affinity IgE receptor; Fc epsilon RII (Homo sapiens)	protein	CD23	CD23; Low affinity IgE receptor; Fc epsilon RII	protein	Homo sapiens
CD37 (Homo sapiens)	protein		CD37	protein	Homo sapiens
CD48 antigen (Homo sapiens)	protein	B-lymphocyte activation marker BLAST-1|BCM1 surface antigen|Leukocyte antigen MEM-102|SLAM family member 2|SLAMF2|Signaling lymphocytic activation molecule 2|TCT.1	CD48 antigen	protein	Homo sapiens
CD5 antigen (Homo sapiens)	protein		CD5 antigen	protein	Homo sapiens
CD52 (Homo sapiens)	protein		CD52	protein	Homo sapiens
CD69 (Homo sapiens)	protein		CD69	protein	Homo sapiens
CD74/ROS (Homo sapiens)	protein	CD74-TRKA	CD74/ROS	protein	Homo sapiens
CD79b (Homo sapiens)	protein		CD79b	protein	Homo sapiens
CD99 antigen (Homo sapiens)	protein	12E7|E2 antigen|Protein MIC2|T-cell surface glycoprotein E2	CD99 antigen	protein	Homo sapiens
cell division cycle 26 homolog (Homo sapiens)	protein	CDC26	cell division cycle 26 homolog	protein	Homo sapiens
cell division cycle protein 20 homolog B (Homo sapiens)	protein		cell division cycle protein 20 homolog B	protein	Homo sapiens
Cell surface antigen SpaP (Streptococcus mutans)	protein		Cell surface antigen SpaP	protein	Streptococcus mutans
cell surface glycoprotein MUC18 (Mus musculus)	protein	l-gicerin	cell surface glycoprotein MUC18	protein	Mus musculus
cell wall surface anchor family protein (Streptococcus pneumoniae)	protein		cell wall surface anchor family protein	protein	Streptococcus pneumoniae
Cellular tumor antigen p53 (Homo sapiens)	protein	Antigen NY-CO-13|Phosphoprotein p53|Tumor suppressor p53	Cellular tumor antigen p53	protein	Homo sapiens
cerebellar degeneration-related antigen 1 (Homo sapiens)	protein		cerebellar degeneration-related antigen 1	protein	Homo sapiens
Chaperone protein ClpB (Escherichia coli)	protein	Heat shock protein F84.1	Chaperone protein ClpB	protein	Escherichia coli
chloramphenicol/florfenicol efflux MFS transporter FloR (Salmonella enterica)	protein		chloramphenicol/florfenicol efflux MFS transporter FloR	protein	Salmonella enterica
CHMP7 neoepitope protein (Homo sapiens)	protein	CHMP7	CHMP7 neoepitope protein	protein	Homo sapiens
Cholera enterotoxin subunit B (Vibrio cholerae)	protein	Cholera enterotoxin B chain|Cholera enterotoxin gamma chain|Choleragenoid	Cholera enterotoxin subunit B	protein	Vibrio cholerae
cholinesterase (Dermatophagoides)	protein		cholinesterase	protein	Dermatophagoides
Chondroitin sulfate proteoglycan 4 (Homo sapiens)	protein	Chondroitin sulfate proteoglycan NG2|Melanoma chondroitin sulfate proteoglycan|Melanoma-associated chondroitin sulfate proteoglycan	Chondroitin sulfate proteoglycan 4	protein	Homo sapiens
