Label	Parent	Alternative Term	IEDB Term	Domain	In Taxon
obsolete lactate dehydrogenase (Papio cynocephalus)	protein		obsolete lactate dehydrogenase	protein	Papio cynocephalus
obsolete Large structural phosphoprotein (Human betaherpesvirus 5)	protein	150 kDa matrix phosphoprotein|BPP|Basic phosphoprotein|Tegument protein UL32|pp150	obsolete Large structural phosphoprotein	protein	Human betaherpesvirus 5
obsolete US22 family homolog (Murid betaherpesvirus 1)	protein	MuHV1_gpm141	obsolete US22 family homolog	protein	Murid betaherpesvirus 1
odorant response abnormal 4 (Homo sapiens)	protein	protein odr-4 homolog	odorant response abnormal 4	protein	Homo sapiens
olfactory receptor 10J4olfactory receptor 10J4 (Homo sapiens)	protein	10J4	olfactory receptor 10J4olfactory receptor 10J4	protein	Homo sapiens
olfactory receptor 628 (Mus musculus)	protein		olfactory receptor 628	protein	Mus musculus
Olfactory receptor Olfr1288 (Mus musculus)	protein		Olfactory receptor Olfr1288	protein	Mus musculus
Oligodendrocyte-myelin glycoprotein (Homo sapiens)	protein		Oligodendrocyte-myelin glycoprotein	protein	Homo sapiens
oligopeptide permease A2 (Borreliella burgdorferi)	protein	OppA|OppA2|oligopeptide ABC transporter	oligopeptide permease A2	protein	Borreliella burgdorferi
omega-5 gliadin (Triticum aestivum)	protein		omega-5 gliadin	protein	Triticum aestivum
Onchocerca volvulus protein (Onchocerca volvulus)	protein		Onchocerca volvulus protein	protein	Onchocerca volvulus
orexin (Homo sapiens)	protein		orexin	protein	Homo sapiens
ORF2 (Murine leukemia virus)	protein		ORF2	protein	Murine leukemia virus
ORF9 (Porcine circovirus 2)	protein		ORF9	protein	Porcine circovirus 2
orotate phosphoribosyltransferase (Plasmodium berghei)	protein		orotate phosphoribosyltransferase	protein	Plasmodium berghei
osteopontin (Macaca fascicularis)	protein		osteopontin	protein	Macaca fascicularis
otoferlin (Homo sapiens)	protein		otoferlin	protein	Homo sapiens
Outer membrane protein 1b (Shigella flexneri)	protein		Outer membrane protein 1b	protein	Shigella flexneri
Outer membrane protein A (Escherichia coli)	protein	Outer membrane protein II*	Outer membrane protein A	protein	Escherichia coli
Outer membrane protein B (Rickettsia conorii)	protein	168 kDa surface-layer protein|Cell surface antigen 5|Sca5|Surface protein antigen|rOmp B|rOmpB	Outer membrane protein B	protein	Rickettsia conorii
Outer membrane protein P2 (Haemophilus influenzae)	protein	OMP P2	Outer membrane protein P2	protein	Haemophilus influenzae
Outer membrane protein P6 (Haemophilus influenzae)	protein	15 kDa peptidoglycan-associated lipoprotein|OMP P6|PC protein	Outer membrane protein P6	protein	Haemophilus influenzae
Outer membrane protein TolC, putative (Coxiella burnetii)	protein		Outer membrane protein TolC, putative	protein	Coxiella burnetii
Outer surface protein A (Borreliella afzelii)	protein		Outer surface protein A	protein	Borreliella afzelii
Outer surface protein A (Borreliella burgdorferi)	protein		Outer surface protein A	protein	Borreliella burgdorferi
outer surface protein C (Borreliella afzelii)	protein	OspC	outer surface protein C	protein	Borreliella afzelii
Outer surface protein C (Borreliella burgdorferi)	protein	PC	Outer surface protein C	protein	Borreliella burgdorferi
Outer surface protein VlsE1 (Borreliella burgdorferi)	protein		Outer surface protein VlsE1	protein	Borreliella burgdorferi
Ov-ALT-1 (Onchocerca volvulus)	protein		Ov-ALT-1	protein	Onchocerca volvulus
Ov-ASP-1 (Onchocerca volvulus)	protein		Ov-ASP-1	protein	Onchocerca volvulus
Ov-B20.16 (Onchocerca volvulus)	protein		Ov-B20.16	protein	Onchocerca volvulus
Ov-CHI-1 (Onchocerca volvulus)	protein		Ov-CHI-1	protein	Onchocerca volvulus
Ov-RBP-1 (Onchocerca volvulus)	protein		Ov-RBP-1	protein	Onchocerca volvulus
Ov23 (Onchocerca volvulus)	protein		Ov23	protein	Onchocerca volvulus
Ovalbumin (Gallus gallus)	protein	Allergen Gal d II|Egg albumin|Plakalbumin	Ovalbumin	protein	Gallus gallus
oxidoreductase (Dermatophagoides)	protein		oxidoreductase	protein	Dermatophagoides
P-selectin glycoprotein ligand 1 (Homo sapiens)	protein		P-selectin glycoprotein ligand 1	protein	Homo sapiens
P0 (Rhipicephalus sanguineus)	protein		P0	protein	Rhipicephalus sanguineus
P34 probable thiol protease (Glycine max)	protein		P34 probable thiol protease	protein	Glycine max
P35 lipoprotein (Mycoplasma penetrans)	protein		P35 lipoprotein	protein	Mycoplasma penetrans
p60 src (Rous sarcoma virus)	protein	RSVgp4,src	p60 src	protein	Rous sarcoma virus
PAc protein (Streptococcus oralis)	protein	180 kda immunodominant antigen	PAc protein	protein	Streptococcus oralis
Par j (Parietaria officinalis)	protein		Par j	protein	Parietaria officinalis
par-3 partitioning defective 3 homolog B (Homo sapiens)	protein		par-3 partitioning defective 3 homolog B	protein	Homo sapiens
Parathyroid hormone (Homo sapiens)	protein		Parathyroid hormone	protein	Homo sapiens
Pb-fam-5 protein (Plasmodium berghei)	protein		Pb-fam-5 protein	protein	Plasmodium berghei
Pb-reticulocyte binding protein (Plasmodium berghei)	protein		Pb-reticulocyte binding protein	protein	Plasmodium berghei
pectate lyase (Bacillus subtilis)	protein		pectate lyase	protein	Bacillus subtilis
peplomeric polyprotein precursor (Infectious bronchitis virus)	protein		peplomeric polyprotein precursor	protein	Infectious bronchitis virus
peptidase (Dermatophagoides)	protein		peptidase	protein	Dermatophagoides
peptidase M23B (Candidatus Solibacter)	protein		peptidase M23B	protein	Candidatus Solibacter
Peptide ABC transporter, permease protein, putative (Coxiella burnetii)	protein		Peptide ABC transporter, permease protein, putative	protein	Coxiella burnetii
Peptide chain release factor 3 (Coxiella burnetii)	protein	RF-3	Peptide chain release factor 3	protein	Coxiella burnetii
periodic tryptophan protein 2 homolog (Homo sapiens)	protein		periodic tryptophan protein 2 homolog	protein	Homo sapiens
permease (Leptospira interrogans)	protein		permease	protein	Leptospira interrogans
Pertussis toxin subunit 1 (Bordetella pertussis)	protein	IAP S1|Islet-activating protein S1|NAD-dependent ADP-ribosyltransferase|PTX S1	Pertussis toxin subunit 1	protein	Bordetella pertussis
pertussis toxin subunit 4 (Bordetella pertussis)	protein		pertussis toxin subunit 4	protein	Bordetella pertussis
PH and SEC7 domain-containing protein 4 (Homo sapiens)	protein		PH and SEC7 domain-containing protein 4	protein	Homo sapiens
phage baseplate protein (Salmonella enterica)	protein		phage baseplate protein	protein	Salmonella enterica
Phl p 3 allergen (Phleum pratense)	protein		Phl p 3 allergen	protein	Phleum pratense
Phlp5 precursor (Phleum pratense)	protein		Phlp5 precursor	protein	Phleum pratense
phosphate ABC transporter substrate-binding protein (Mycobacterium tuberculosis)	protein		phosphate ABC transporter substrate-binding protein	protein	Mycobacterium tuberculosis
Phosphate transport system permease protein PstA 1 (Mycobacterium tuberculosis)	protein		Phosphate transport system permease protein PstA 1	protein	Mycobacterium tuberculosis
phosphatidylcholine-sterol acyltransferase (Homo sapiens)	protein		phosphatidylcholine-sterol acyltransferase	protein	Homo sapiens
phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit (Homo sapiens)	protein	PI3-kinase p110	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit	protein	Homo sapiens
phosphohydrolase family protein (Coxiella burnetii)	protein	phosphohydrolase	phosphohydrolase family protein	protein	Coxiella burnetii
phospholipase A2 inhibitor gamma (Elaphe carinata)	protein		phospholipase A2 inhibitor gamma	protein	Elaphe carinata
phospholipase A2 inhibitor gamma (Elaphe taeniura)	protein		phospholipase A2 inhibitor gamma	protein	Elaphe taeniura
phospholipase A2 inhibitor gamma (Lycodon rufozonatus)	protein	PLIg	phospholipase A2 inhibitor gamma	protein	Lycodon rufozonatus
phospholipase A2 inhibitor gamma (Macropisthodon rudis)	protein		phospholipase A2 inhibitor gamma	protein	Macropisthodon rudis
phospholipase A2 inhibitor gamma (Oocatochus rufodorsatus)	protein	PLIg	phospholipase A2 inhibitor gamma	protein	Oocatochus rufodorsatus
phospholipase A2 inhibitor gamma (Ptyas dhumnades)	protein		phospholipase A2 inhibitor gamma	protein	Ptyas dhumnades
phospholipase A2 inhibitor gamma (Sinonatrix annularis)	protein	PLIg	phospholipase A2 inhibitor gamma	protein	Sinonatrix annularis
phospholysine phosphohistidine inorganic pyrophosphate phosphatase (Homo sapiens)	protein		phospholysine phosphohistidine inorganic pyrophosphate phosphatase	protein	Homo sapiens
phosphomannomutase 2 (Homo sapiens)	protein		phosphomannomutase 2	protein	Homo sapiens
Phosphoprotein (Rabies lyssavirus)	protein	Protein M1|Protein P	Phosphoprotein	protein	Rabies lyssavirus
phosphorylated adapter RNA export protein (Homo sapiens)	protein		phosphorylated adapter RNA export protein	protein	Homo sapiens
phosphorylated matrix protein pp65 (Human betaherpesvirus 5)	protein		phosphorylated matrix protein pp65	protein	Human betaherpesvirus 5
Phosphoserine aminotransferase (Coxiella burnetii)	protein	PSAT|Phosphohydroxythreonine aminotransferase	Phosphoserine aminotransferase	protein	Coxiella burnetii
pHS-2 (Shigella flexneri)	protein		pHS-2	protein	Shigella flexneri
pilin (Escherichia coli)	protein		pilin	protein	Escherichia coli
Pis v 5 (Pistacia vera)	protein	Pis v 5.0101 allergen 11S globulin precusor	Pis v 5	protein	Pistacia vera
Plaque-size/host range protein (Vaccinia virus)	protein	Protein B5	Plaque-size/host range protein	protein	Vaccinia virus
plasminogen activator inhibitor 1 isoform 1 precursor (Homo sapiens)	protein		plasminogen activator inhibitor 1 isoform 1 precursor	protein	Homo sapiens
platelet derived growth factor receptor alpha (Homo sapiens)	protein	PDGFRA	platelet derived growth factor receptor alpha	protein	Homo sapiens
platelet glycoprotein IIIa (Homo sapiens)	protein	Integrin beta 3; antigen CD61	platelet glycoprotein IIIa	protein	Homo sapiens
Pleckstrin (Homo sapiens)	protein	Platelet 47 kDa protein|p47	Pleckstrin	protein	Homo sapiens
Pn14TS (Streptococcus pneumoniae)	protein	S. pneumoniae serotype 14 capsular polysaccharide	Pn14TS	protein	Streptococcus pneumoniae
pneumococcal histidine triad protein D (Streptococcus pneumoniae)	protein		pneumococcal histidine triad protein D	protein	Streptococcus pneumoniae
pneumococcal histidine triad protein E (Streptococcus pneumoniae)	protein		pneumococcal histidine triad protein E	protein	Streptococcus pneumoniae
pol polyprotein (Feline immunodeficiency virus)	protein		pol polyprotein	protein	Feline immunodeficiency virus
pol polyprotein (Visna-maedi virus)	protein		pol polyprotein	protein	Visna-maedi virus
pollen allergen (Juniperus saxicola)	protein		pollen allergen	protein	Juniperus saxicola
Pollen allergen Lol p 1 (Lolium perenne)	protein	Allergen Lol p I|Allergen R7	Pollen allergen Lol p 1	protein	Lolium perenne
poly-γ-D-glutamic-acid (Bacillus anthracis)	protein	γDPGA|Capsule polypeptide	poly-γ-D-glutamic-acid	protein	Bacillus anthracis
Polycomb group RING finger protein 6 (Homo sapiens)	protein	MBLR|Mel18 and Bmi1-like RING finger|PCGF6|RING finger protein 134|RNF134	Polycomb group RING finger protein 6	protein	Homo sapiens
Polygalacturonase (Cryptomeria japonica)	protein	Allergen Cry j II|Major pollen allergen Cry j 2|PG|Pectinase	Polygalacturonase	protein	Cryptomeria japonica
polyketide synthase (Mycobacterium tuberculosis variant bovis)	protein		polyketide synthase	protein	Mycobacterium tuberculosis variant bovis
polymerase accessory protein T 6/GS (Human betaherpesvirus 5)	protein		polymerase accessory protein T 6/GS	protein	Human betaherpesvirus 5
Polymerase acidic protein (Influenza A virus)	protein	PA|RNA-directed RNA polymerase subunit P2	Polymerase acidic protein	protein	Influenza A virus
Polymerase basic protein 2 (Influenza A virus)	protein	PB2|RNA-directed RNA polymerase subunit P3	Polymerase basic protein 2	protein	Influenza A virus
Polymerase cofactor VP35 (Ebola virus)	protein		Polymerase cofactor VP35	protein	Ebola virus
polyprotein (Duck Tembusu virus)	protein		polyprotein	protein	Duck Tembusu virus
polyprotein (Enterovirus A)	protein		polyprotein	protein	Enterovirus A
polyprotein (Equine rhinitis A virus)	protein		polyprotein	protein	Equine rhinitis A virus
Polyprotein (Foot-and-mouth disease virus)	protein		Polyprotein	protein	Foot-and-mouth disease virus
polyprotein (Hepacivirus C)	protein		polyprotein	protein	Hepacivirus C
polyprotein (Saint Louis encephalitis virus)	protein		polyprotein	protein	Saint Louis encephalitis virus
polyprotein precursor (GB virus C)	protein		polyprotein precursor	protein	GB virus C
Possible transmembrane cation transporter (Mycobacterium tuberculosis)	protein		Possible transmembrane cation transporter	protein	Mycobacterium tuberculosis
potassium-transporting ATPase alpha chain 1 (Oryctolagus cuniculus)	protein		potassium-transporting ATPase alpha chain 1	protein	Oryctolagus cuniculus
PPE family protein (Mycobacterium tuberculosis)	protein		PPE family protein	protein	Mycobacterium tuberculosis
PR domain zinc finger protein 1 (Homo sapiens)	protein	BLIMP-1|Beta-interferon gene positive regulatory domain I-binding factor|PR domain-containing protein 1|PRDI-BF1|PRDI-binding factor 1|Positive regulatory domain I-binding factor 1	PR domain zinc finger protein 1	protein	Homo sapiens
Pre-glycoprotein polyprotein GP complex (Guanarito mammarenavirus)	protein		Pre-glycoprotein polyprotein GP complex	protein	Guanarito mammarenavirus
Pre-glycoprotein polyprotein GP complex (Lassa mammarenavirus)	protein		Pre-glycoprotein polyprotein GP complex	protein	Lassa mammarenavirus
pre-mRNA-processing-splicing factor 8 (Mus musculus)	protein	Prpf8	pre-mRNA-processing-splicing factor 8	protein	Mus musculus
prediabetic NOD sera-reactive autoantigen (Mus musculus)	protein		prediabetic NOD sera-reactive autoantigen	protein	Mus musculus
PREDICTED: similar to filaggrin (Mus musculus)	protein	LOC668304	PREDICTED: similar to filaggrin	protein	Mus musculus
Prion protein (Homo sapiens)	protein		Prion protein	protein	Homo sapiens
Prion protein (Mus musculus)	protein	PrP	Prion protein	protein	Mus musculus
Pro-cathepsin H (Homo sapiens)	protein		Pro-cathepsin H	protein	Homo sapiens
Pro-vaccinia growth factor (Vaccinia virus)	protein	Pro-VGF	Pro-vaccinia growth factor	protein	Vaccinia virus
Probable ATP-dependent helicase Lhr (Large helicase-related protein) (Mycobacterium tuberculosis)	protein		Probable ATP-dependent helicase Lhr (Large helicase-related protein)	protein	Mycobacterium tuberculosis
Probable endopeptidase p60 (Listeria monocytogenes)	protein	Invasion-associated protein p60	Probable endopeptidase p60	protein	Listeria monocytogenes
Probable lipoprotein aminopeptidase LpqL (Mycobacterium tuberculosis)	protein		Probable lipoprotein aminopeptidase LpqL	protein	Mycobacterium tuberculosis
Probable non-specific lipid-transfer protein (Parietaria judaica)	protein	Allergen Par j I|LTP|Major pollen allergen Par j 1.0101|Protein P5	Probable non-specific lipid-transfer protein	protein	Parietaria judaica
procollagen, type II, alpha 1 (Mus musculus)	protein	Col2a1	procollagen, type II, alpha 1	protein	Mus musculus
Profilin (Vaccinia virus)	protein		Profilin	protein	Vaccinia virus
progesterone receptor (Mus musculus)	protein		progesterone receptor	protein	Mus musculus
proliferating cell nuclear antigen (Homo sapiens)	protein	PCNA	proliferating cell nuclear antigen	protein	Homo sapiens
proliferating cell nuclear antigen (Oryctolagus cuniculus)	protein	PCNA	proliferating cell nuclear antigen	protein	Oryctolagus cuniculus
proteasomal ubiquitin receptor ADRM1 (Homo sapiens)	protein	ADRM1	proteasomal ubiquitin receptor ADRM1	protein	Homo sapiens
proteasome subunit alpha type-7 (Homo sapiens)	protein		proteasome subunit alpha type-7	protein	Homo sapiens
proteasome subunit beta type-10 (Homo sapiens)	protein		proteasome subunit beta type-10	protein	Homo sapiens
proteasome subunit beta type-3 (Homo sapiens)	protein		proteasome subunit beta type-3	protein	Homo sapiens
proteasome subunit beta type-8 (Homo sapiens)	protein		proteasome subunit beta type-8	protein	Homo sapiens
proteasome subunit C5 (Homo sapiens)	protein	proteasome subunit-C5	proteasome subunit C5	protein	Homo sapiens
Protective antigen (Taenia solium)	protein		Protective antigen	protein	Taenia solium
Protective recombinant antigen (Taenia crassiceps)	protein		Protective recombinant antigen	protein	Taenia crassiceps
Protein A26 (Vaccinia virus)	protein		Protein A26	protein	Vaccinia virus
Protein A30 (Vaccinia virus)	protein		Protein A30	protein	Vaccinia virus
Protein A33 (Vaccinia virus)	protein		Protein A33	protein	Vaccinia virus
Protein A34 (Vaccinia virus)	protein		Protein A34	protein	Vaccinia virus
Protein A35 (Vaccinia virus)	protein		Protein A35	protein	Vaccinia virus
Protein A40 (Vaccinia virus)	protein		Protein A40	protein	Vaccinia virus
Protein A41 (Vaccinia virus)	protein		Protein A41	protein	Vaccinia virus
Protein A46 (Vaccinia virus)	protein		Protein A46	protein	Vaccinia virus
Protein A52 (Vaccinia virus)	protein		Protein A52	protein	Vaccinia virus
Protein A56 (Vaccinia virus)	protein	Hemagglutinin	Protein A56	protein	Vaccinia virus
Protein argonaute-2 (Homo sapiens)	protein		Protein argonaute-2	protein	Homo sapiens
Protein B9 (Vaccinia virus)	protein		Protein B9	protein	Vaccinia virus
Protein C (Measles morbillivirus)	protein		Protein C	protein	Measles morbillivirus
Protein E6 (Human papillomavirus type 16)	protein		Protein E6	protein	Human papillomavirus type 16
Protein E7 (Human papillomavirus type 16)	protein		Protein E7	protein	Human papillomavirus type 16
Protein E7 (Human papillomavirus)	protein		Protein E7	protein	Human papillomavirus
Protein E8 (Vaccinia virus)	protein		Protein E8	protein	Vaccinia virus
protein farnesyltransferase subunit beta (Homo sapiens)	protein		protein farnesyltransferase subunit beta	protein	Homo sapiens
Protein G3 (Vaccinia virus)	protein		Protein G3	protein	Vaccinia virus
Protein H60b (Mus musculus)	protein		Protein H60b	protein	Mus musculus
Protein K1 (Human gammaherpesvirus 8)	protein		Protein K1	protein	Human gammaherpesvirus 8
Protein K12 (Human gammaherpesvirus 8)	protein		Protein K12	protein	Human gammaherpesvirus 8
Protein K2 (Vaccinia virus)	protein	Serine proteinase inhibitor 3	Protein K2	protein	Vaccinia virus
protein kinase C beta type isoform 2 (Homo sapiens)	protein	PKC-B	protein kinase C beta type isoform 2	protein	Homo sapiens
Protein L1 (Vaccinia virus)	protein	Virion membrane protein M25	Protein L1	protein	Vaccinia virus
Protein Nef (Human immunodeficiency virus 1)	protein	3'ORF|F-protein|Negative factor	Protein Nef	protein	Human immunodeficiency virus 1
Protein O1 (Vaccinia virus)	protein		Protein O1	protein	Vaccinia virus
Protein ORF10 (Human gammaherpesvirus 8)	protein		Protein ORF10	protein	Human gammaherpesvirus 8
Protein ORF73 (Human gammaherpesvirus 8)	protein		Protein ORF73	protein	Human gammaherpesvirus 8
Protein P (Hepatitis B virus)	protein		Protein P	protein	Hepatitis B virus
Protein PB1-F2 (Influenza A virus)	protein		Protein PB1-F2	protein	Influenza A virus
protein RarD (Salmonella enterica)	protein		protein RarD	protein	Salmonella enterica
Protein Rex (Human T-lymphotropic virus 2)	protein	Rev homolog|Rex-2	Protein Rex	protein	Human T-lymphotropic virus 2
Protein Tax-1 (Human T-cell leukemia virus type I)	protein	Protein PX|Protein X-LOR|Trans-activating transcriptional regulatory protein of HTLV-1	Protein Tax-1	protein	Human T-cell leukemia virus type I
Protein tyrosine phosphatase (Mus musculus)	protein		Protein tyrosine phosphatase	protein	Mus musculus
protein tyrosine phosphatase-like autoantigen (Homo sapiens)	protein	IA-2	protein tyrosine phosphatase-like autoantigen	protein	Homo sapiens
protein tyrosine sulfotransferase 1 (Homo sapiens)	protein		protein tyrosine sulfotransferase 1	protein	Homo sapiens
protein unc-13 homolog D (Homo sapiens)	protein	UNC13D	protein unc-13 homolog D	protein	Homo sapiens
Protein X (Hepatitis B virus)	protein	HBx|Peptide X|pX	Protein X	protein	Hepatitis B virus
protein-arginine deiminase (Homo sapiens)	protein		protein-arginine deiminase	protein	Homo sapiens
Proteinase-activated receptor 4 (Homo sapiens)	protein	Coagulation factor II receptor-like 3|PAR-4|Thrombin receptor-like 3	Proteinase-activated receptor 4	protein	Homo sapiens
protocadherin (Rattus norvegicus)	protein		protocadherin	protein	Rattus norvegicus
protocadherin Fat 3 (Homo sapiens)	protein		protocadherin Fat 3	protein	Homo sapiens
Protocadherin-24 Ec1-3 (Mus musculus)	protein		Protocadherin-24 Ec1-3	protein	Mus musculus
Pseudogene candidate (Homo sapiens)	protein	IPI00375954	Pseudogene candidate	protein	Homo sapiens
PTS system mannitol-specific transporter subunit IIA (Salmonella enterica)	protein		PTS system mannitol-specific transporter subunit IIA	protein	Salmonella enterica
Pumilio homolog 2 (Homo sapiens)	protein	Pumilio-2	Pumilio homolog 2	protein	Homo sapiens
putative allergen Cup a 1 glycoprotein (Hesperocyparis arizonica)	protein		putative allergen Cup a 1 glycoprotein	protein	Hesperocyparis arizonica
Putative glycosyltransferase ALG1-like (Homo sapiens)	protein		Putative glycosyltransferase ALG1-like	protein	Homo sapiens
Putative methyltransferase NSUN3 (Homo sapiens)	protein		Putative methyltransferase NSUN3	protein	Homo sapiens
putative transcriptional attenuator leader peptide (Listeria monocytogenes)	protein		putative transcriptional attenuator leader peptide	protein	Listeria monocytogenes
pX-rex-orf I (Human T-cell leukemia virus type I)	protein	Rof	pX-rex-orf I	protein	Human T-cell leukemia virus type I
Quinolinate phosphoribosyltransferase (Homo sapiens)	protein		Quinolinate phosphoribosyltransferase	protein	Homo sapiens
Rano class II histocompatibility antigen, D-1 beta chain (Rattus norvegicus)	protein	D-1 beta chain|RT1 class II histocompatibility antigen	Rano class II histocompatibility antigen, D-1 beta chain	protein	Rattus norvegicus
RAS guanyl-releasing protein 2 (Homo sapiens)	protein		RAS guanyl-releasing protein 2	protein	Homo sapiens
RAS p21 protein activator 2 (Homo sapiens)	protein		RAS p21 protein activator 2	protein	Homo sapiens
RAS protein activator like-3 (Homo sapiens)	protein		RAS protein activator like-3	protein	Homo sapiens
Rb-associated protein (Homo sapiens)	protein	Rb associated protein	Rb-associated protein	protein	Homo sapiens
Receptor tyrosine protein kinase erbB-2 (Homo sapiens)	protein	erbB 2	Receptor tyrosine protein kinase erbB-2	protein	Homo sapiens
Receptor-type tyrosine-protein phosphatase N2 (Rattus norvegicus)	protein	PTP NE-6|PTPNE6|Phogrin|R-PTP-N2	Receptor-type tyrosine-protein phosphatase N2	protein	Rattus norvegicus
Recoverin (Bos taurus)	protein	p26	Recoverin	protein	Bos taurus
regulatory protein IE1 (Human betaherpesvirus 5)	protein	IE1	regulatory protein IE1	protein	Human betaherpesvirus 5
Replicase polyprotein 1ab (Lelystad virus)	protein	ORF1ab polyprotein	Replicase polyprotein 1ab	protein	Lelystad virus
Replicase polyprotein 1ab (Severe acute respiratory syndrome-related coronavirus)	protein	ORF1ab polyprotein|pp1ab	Replicase polyprotein 1ab	protein	Severe acute respiratory syndrome-related coronavirus
Replication protein E1 (Kappapapillomavirus 2)	protein	ATP-dependent helicase E1	Replication protein E1	protein	Kappapapillomavirus 2
replication protein E1 (Mupapillomavirus 1)	protein	E1	replication protein E1	protein	Mupapillomavirus 1
repressor protein for FtsI (Escherichia coli)	protein	G2583_3740,sufI	repressor protein for FtsI	protein	Escherichia coli
RESA (Plasmodium falciparum)	protein	ring-infected erythrocyte surface antigen	RESA	protein	Plasmodium falciparum
Retinoic acid receptor alpha (Homo sapiens)	protein	Nuclear receptor subfamily 1 group B member 1|RAR-alpha	Retinoic acid receptor alpha	protein	Homo sapiens
retinoid isomerohydrolase isoform X1 (Bos taurus)	protein		retinoid isomerohydrolase isoform X1	protein	Bos taurus
Retinol-binding protein 3 (Bos taurus)	protein	IRBP|Interphotoreceptor retinoid-binding protein|Interstitial retinol-binding protein|Protein 7S	Retinol-binding protein 3	protein	Bos taurus
Retinol-binding protein 3 (Homo sapiens)	protein	IRBP|Interphotoreceptor retinoid-binding protein|Interstitial retinol-binding protein	Retinol-binding protein 3	protein	Homo sapiens
retroviral gag protein (Human endogenous retrovirus)	protein		retroviral gag protein	protein	Human endogenous retrovirus
reverse transcriptase homolog - human retrotransposon L1 (Homo sapiens)	protein	reverse transcriptase homolog - human transposon L1.1	reverse transcriptase homolog - human retrotransposon L1	protein	Homo sapiens
Rho GDP dissociation inhibitor (Homo sapiens)	protein	GDI	Rho GDP dissociation inhibitor	protein	Homo sapiens
rho GTPase-activating protein 15 (Homo sapiens)	protein		rho GTPase-activating protein 15	protein	Homo sapiens
rho GTPase-activating protein 25 (Homo sapiens)	protein		rho GTPase-activating protein 25	protein	Homo sapiens
rho GTPase-activating protein 4 (Homo sapiens)	protein		rho GTPase-activating protein 4	protein	Homo sapiens
rho-related GTP-binding protein RhoB (Gallus gallus)	protein		rho-related GTP-binding protein RhoB	protein	Gallus gallus
Rhodopsin (Bos taurus)	protein		Rhodopsin	protein	Bos taurus
Rhoptry-associated protein 1 (Plasmodium falciparum)	protein		Rhoptry-associated protein 1	protein	Plasmodium falciparum
Ribonuclease mitogillin (Aspergillus fumigatus)	protein	Allergen Asp f I|Allergen I/a|IgE-binding ribotoxin|Major allergen Asp f 1	Ribonuclease mitogillin	protein	Aspergillus fumigatus
Ribonucleoside-diphosphate reductase large subunit (Vaccinia virus)	protein	Ribonucleotide reductase large subunit	Ribonucleoside-diphosphate reductase large subunit	protein	Vaccinia virus
Ribonucleoside-diphosphate reductase, alpha subunit (Coxiella burnetii)	protein		Ribonucleoside-diphosphate reductase, alpha subunit	protein	Coxiella burnetii
ribonucleotide reductase (Human alphaherpesvirus 2)	protein		ribonucleotide reductase	protein	Human alphaherpesvirus 2
ribonucleotide reductase large (Murid gammaherpesvirus 4)	protein		ribonucleotide reductase large	protein	Murid gammaherpesvirus 4
ribosomal protein L14 (Mus musculus)	protein		ribosomal protein L14	protein	Mus musculus
ribosomal protein L2B (Saccharomyces cerevisiae)	protein		ribosomal protein L2B	protein	Saccharomyces cerevisiae
ribosomal protein S1-like DNA-binding protein (Homo sapiens)	protein		ribosomal protein S1-like DNA-binding protein	protein	Homo sapiens
ribosomal-protein-alanine acetyltransferase rimJ (Mycobacterium tuberculosis)	protein	RimJ/RimL	ribosomal-protein-alanine acetyltransferase rimJ	protein	Mycobacterium tuberculosis
ricin A chain (Ricinus communis)	protein	rRNA N-glycosidase	ricin A chain	protein	Ricinus communis
RIG-like 5-6 (Homo sapiens)	protein		RIG-like 5-6	protein	Homo sapiens
RING finger protein Z (Lassa virus Josiah)	protein	Protein Z|Zinc-binding protein	RING finger protein Z	protein	Lassa virus Josiah
RING finger protein Z (Lymphocytic choriomeningitis mammarenavirus)	protein	Protein Z|Zinc-binding protein	RING finger protein Z	protein	Lymphocytic choriomeningitis mammarenavirus
RING finger protein Z (Machupo mammarenavirus)	protein	Protein Z|Zinc-binding protein	RING finger protein Z	protein	Machupo mammarenavirus
RING12 (Homo sapiens)	protein		RING12	protein	Homo sapiens
RNA helicase (Salmonella enterica)	protein		RNA helicase	protein	Salmonella enterica
RNA helicase NPH-II (Vaccinia virus)	protein	NPH II|NTPase II|Nucleoside triphosphatase II|Nucleoside triphosphate phosphohydrolase II|RNA helicase I8	RNA helicase NPH-II	protein	Vaccinia virus
RNA polymerase (Plasmodium berghei)	protein		RNA polymerase	protein	Plasmodium berghei
RNA polymerase (Rabies lyssavirus)	protein		RNA polymerase	protein	Rabies lyssavirus
RNA polymerase sigma factor SigA (Chlamydia trachomatis)	protein	Sigma-66|Sigma-70|Sigma-A	RNA polymerase sigma factor SigA	protein	Chlamydia trachomatis
RNA-binding protein 39 (Homo sapiens)	protein	Hepatocellular carcinoma protein 1	RNA-binding protein 39	protein	Homo sapiens
RNA-directed RNA polymerase catalytic subunit (Influenza A virus)	protein	Polymerase basic protein 1|RNA-directed RNA polymerase subunit P1	RNA-directed RNA polymerase catalytic subunit	protein	Influenza A virus
RNA-directed RNA polymerase L (Hantaan orthohantavirus)	protein	Large structural protein|Protein L|Replicase|Transcriptase	RNA-directed RNA polymerase L	protein	Hantaan orthohantavirus
