:	label	type
NCBITaxon:44397	Melospiza melodia	owl:Class
NCBITaxon:493803	Merkel cell polyomavirus	owl:Class
NCBITaxon:10036	Mesocricetus auratus	owl:Class
NCBITaxon:54390	Micrurus corallinus	owl:Class
NCBITaxon:11801	Moloney murine leukemia virus	owl:Class
NCBITaxon:10244	Monkeypox virus	owl:Class
NCBITaxon:480	Moraxella catarrhalis	owl:Class
NCBITaxon:11757	Mouse mammary tumor virus	owl:Class
NCBITaxon:89382	Multiple sclerosis associated retrovirus element	owl:Class
NCBITaxon:1384672	Mumps virus genotype G	owl:Class
NCBITaxon:334203	Mupapillomavirus 1	owl:Class
NCBITaxon:10366	Murid betaherpesvirus 1	owl:Class
NCBITaxon:33708	Murid gammaherpesvirus 4	owl:Class
NCBITaxon:10367	Murine cytomegalovirus (strain Smith)	owl:Class
NCBITaxon:11138	Murine hepatitis virus	owl:Class
NCBITaxon:11786	Murine leukemia virus	owl:Class
NCBITaxon:223997	Murine norovirus 1	owl:Class
NCBITaxon:11191	Murine respirovirus	owl:Class
NCBITaxon:10090	Mus musculus	owl:Class
NCBITaxon:37325	Muscovy duck parvovirus	owl:Class
NCBITaxon:77153	Muscovy duck reovirus	owl:Class
NCBITaxon:1763	Mycobacterium	owl:Class
NCBITaxon:1764	Mycobacterium avium	owl:Class
NCBITaxon:44454	Mycobacterium avium subsp. avium	owl:Class
NCBITaxon:1770	Mycobacterium avium subsp. paratuberculosis	owl:Class
NCBITaxon:1777	Mycobacterium gastri	owl:Class
NCBITaxon:1768	Mycobacterium kansasii	owl:Class
NCBITaxon:1769	Mycobacterium leprae	owl:Class
NCBITaxon:1783	Mycobacterium scrofulaceum	owl:Class
NCBITaxon:1773	Mycobacterium tuberculosis	owl:Class
NCBITaxon:1765	Mycobacterium tuberculosis variant bovis	owl:Class
NCBITaxon:33892	Mycobacterium tuberculosis variant bovis BCG	owl:Class
NCBITaxon:1772	Mycolicibacterium smegmatis	owl:Class
NCBITaxon:2096	Mycoplasma gallisepticum	owl:Class
NCBITaxon:2099	Mycoplasma hyopneumoniae	owl:Class
NCBITaxon:28227	Mycoplasma penetrans	owl:Class
NCBITaxon:195316	Narcine timlei	owl:Class
NCBITaxon:485	Neisseria gonorrhoeae	owl:Class
NCBITaxon:487	Neisseria meningitidis	owl:Class
NCBITaxon:909420	Neisseria meningitidis H44/76	owl:Class
NCBITaxon:122586	Neisseria meningitidis MC58	owl:Class
NCBITaxon:65699	Neisseria meningitidis serogroup A	owl:Class
NCBITaxon:491	Neisseria meningitidis serogroup B	owl:Class
NCBITaxon:135720	Neisseria meningitidis serogroup C	owl:Class
NCBITaxon:648194	Neisseria meningitidis serogroup Y	owl:Class
NCBITaxon:525171	Neisseria meningitidis serogroup Z	owl:Class
NCBITaxon:47308	Neogobius melanostomus	owl:Class
NCBITaxon:452646	Neovison vison	owl:Class
NCBITaxon:35797	Nitrococcus mobilis	owl:Class
NCBITaxon:142786	Norovirus	owl:Class
NCBITaxon:122928	Norovirus GI	owl:Class
NCBITaxon:647516	Norovirus GI.3	owl:Class
NCBITaxon:122929	Norovirus GII	owl:Class
NCBITaxon:490039	Norovirus GII.2	owl:Class
NCBITaxon:490041	Norovirus GII.3	owl:Class
NCBITaxon:340017	Norovirus GIII	owl:Class
NCBITaxon:1160947	Norovirus GIV.1	owl:Class
NCBITaxon:235544	Norovirus genogroup 1 isolates	owl:Class
NCBITaxon:11983	Norwalk virus	owl:Class
NCBITaxon:9315	Notamacropus eugenii	owl:Class
NCBITaxon:6282	Onchocerca volvulus	owl:Class
NCBITaxon:74369	Oocatochus rufodorsatus	owl:Class
NCBITaxon:9733	Orcinus orca	owl:Class
NCBITaxon:784	Orientia tsutsugamushi	owl:Class
NCBITaxon:9986	Oryctolagus cuniculus	owl:Class
NCBITaxon:4530	Oryza sativa	owl:Class
NCBITaxon:9940	Ovis aries	owl:Class
NCBITaxon:9598	Pan troglodytes	owl:Class
NCBITaxon:9556	Papio cynocephalus	owl:Class
NCBITaxon:134537	Paraburkholderia fungorum	owl:Class
NCBITaxon:121759	Paracoccidioides brasiliensis	owl:Class
NCBITaxon:34504	Paragonimus westermani	owl:Class
NCBITaxon:33127	Parietaria judaica	owl:Class
NCBITaxon:13187	Parietaria officinalis	owl:Class
NCBITaxon:747	Pasteurella multocida	owl:Class
NCBITaxon:29960	Penaeus indicus	owl:Class
NCBITaxon:15957	Phleum pratense	owl:Class
NCBITaxon:11240	Phocine morbillivirus	owl:Class
NCBITaxon:9755	Physeter catodon	owl:Class
NCBITaxon:71647	Pinus pinaster	owl:Class
NCBITaxon:3352	Pinus taeda	owl:Class
NCBITaxon:55513	Pistacia vera	owl:Class
NCBITaxon:5821	Plasmodium berghei	owl:Class
NCBITaxon:5826	Plasmodium chabaudi adami	owl:Class
NCBITaxon:5833	Plasmodium falciparum	owl:Class
NCBITaxon:5850	Plasmodium knowlesi	owl:Class
NCBITaxon:5855	Plasmodium vivax	owl:Class
NCBITaxon:5861	Plasmodium yoelii	owl:Class
NCBITaxon:283801	Plasmodium yoelii killicki	owl:Class
NCBITaxon:73239	Plasmodium yoelii yoelii	owl:Class
NCBITaxon:352914	Plasmodium yoelii yoelii 17XNL	owl:Class
NCBITaxon:9479	Platyrrhini	owl:Class
NCBITaxon:12211	Plum pox virus	owl:Class
NCBITaxon:3694	Populus trichocarpa	owl:Class
NCBITaxon:46221	Porcine circovirus	owl:Class
NCBITaxon:133704	Porcine circovirus 1	owl:Class
NCBITaxon:85708	Porcine circovirus 2	owl:Class
NCBITaxon:61673	Porcine endogenous retrovirus	owl:Class
